library_name	library_group	fastq_R1	fastq_R2
Mother-a	Mother	Mother-a_R1.fastq.gz	Mother-a_R2.fastq.gz
Mother-b	Mother	Mother-b_R1.fastq.gz	Mother-b_R2.fastq.gz
Mother-c	Mother	Mother-c_R1.fastq.gz	Mother-c_R2.fastq.gz
Mother-d	Mother	Mother-d_R1.fastq.gz	Mother-d_R2.fastq.gz
Mother-e	Mother	Mother-e_R1.fastq.gz	Mother-e_R2.fastq.gz
Mother-f	Mother	Mother-f_R1.fastq.gz	Mother-f_R2.fastq.gz
Mother-g	Mother	Mother-g_R1.fastq.gz	Mother-g_R2.fastq.gz
Mother-h	Mother	Mother-h_R1.fastq.gz	Mother-h_R2.fastq.gz
Mother-i	Mother	Mother-i_R1.fastq.gz	Mother-i_R2.fastq.gz
Mother-j	Mother	Mother-j_R1.fastq.gz	Mother-j_R2.fastq.gz
Mother-k	Mother	Mother-k_R1.fastq.gz	Mother-k_R2.fastq.gz
Mother-l	Mother	Mother-l_R1.fastq.gz	Mother-l_R2.fastq.gz
Serum-a	Serum	Serum-a_R1.fastq.gz	Serum-a_R2.fastq.gz
Serum-b	Serum	Serum-b_R1.fastq.gz	Serum-b_R2.fastq.gz
Serum-c	Serum	Serum-c_R1.fastq.gz	Serum-c_R2.fastq.gz
Serum-d	Serum	Serum-d_R1.fastq.gz	Serum-d_R2.fastq.gz
Serum-e	Serum	Serum-e_R1.fastq.gz	Serum-e_R2.fastq.gz
Serum-f	Serum	Serum-f_R1.fastq.gz	Serum-f_R2.fastq.gz
Serum-g	Serum	Serum-g_R1.fastq.gz	Serum-g_R2.fastq.gz
Serum-h	Serum	Serum-h_R1.fastq.gz	Serum-h_R2.fastq.gz
Serum-i	Serum	Serum-i_R1.fastq.gz	Serum-i_R2.fastq.gz
Serum-j	Serum	Serum-j_R1.fastq.gz	Serum-j_R2.fastq.gz
Serum-k	Serum	Serum-k_R1.fastq.gz	Serum-k_R2.fastq.gz
Serum-l	Serum	Serum-l_R1.fastq.gz	Serum-l_R2.fastq.gz
IL-6_WT-1-a	IL-6_WT-1	IL-6_WT-1-a_R1.fastq.gz	IL-6_WT-1-a_R2.fastq.gz
IL-6_WT-1-b	IL-6_WT-1	IL-6_WT-1-b_R1.fastq.gz	IL-6_WT-1-b_R2.fastq.gz
IL-6_WT-1-c	IL-6_WT-1	IL-6_WT-1-c_R1.fastq.gz	IL-6_WT-1-c_R2.fastq.gz
IL-6_WT-1-d	IL-6_WT-1	IL-6_WT-1-d_R1.fastq.gz	IL-6_WT-1-d_R2.fastq.gz
IL-6_WT-1-e	IL-6_WT-1	IL-6_WT-1-e_R1.fastq.gz	IL-6_WT-1-e_R2.fastq.gz
IL-6_WT-1-f	IL-6_WT-1	IL-6_WT-1-f_R1.fastq.gz	IL-6_WT-1-f_R2.fastq.gz
IL-6_WT-1-g	IL-6_WT-1	IL-6_WT-1-g_R1.fastq.gz	IL-6_WT-1-g_R2.fastq.gz
IL-6_WT-1-h	IL-6_WT-1	IL-6_WT-1-h_R1.fastq.gz	IL-6_WT-1-h_R2.fastq.gz
IL-6_WT-1-i	IL-6_WT-1	IL-6_WT-1-i_R1.fastq.gz	IL-6_WT-1-i_R2.fastq.gz
IL-6_WT-1-j	IL-6_WT-1	IL-6_WT-1-j_R1.fastq.gz	IL-6_WT-1-j_R2.fastq.gz
IL-6_WT-1-k	IL-6_WT-1	IL-6_WT-1-k_R1.fastq.gz	IL-6_WT-1-k_R2.fastq.gz
IL-6_WT-1-l	IL-6_WT-1	IL-6_WT-1-l_R1.fastq.gz	IL-6_WT-1-l_R2.fastq.gz
IL-6_WT-2-a	IL-6_WT-2	IL-6_WT-2-a_R1.fastq.gz	IL-6_WT-2-a_R2.fastq.gz
IL-6_WT-2-b	IL-6_WT-2	IL-6_WT-2-b_R1.fastq.gz	IL-6_WT-2-b_R2.fastq.gz
IL-6_WT-2-c	IL-6_WT-2	IL-6_WT-2-c_R1.fastq.gz	IL-6_WT-2-c_R2.fastq.gz
IL-6_WT-2-d	IL-6_WT-2	IL-6_WT-2-d_R1.fastq.gz	IL-6_WT-2-d_R2.fastq.gz
IL-6_WT-2-e	IL-6_WT-2	IL-6_WT-2-e_R1.fastq.gz	IL-6_WT-2-e_R2.fastq.gz
IL-6_WT-2-f	IL-6_WT-2	IL-6_WT-2-f_R1.fastq.gz	IL-6_WT-2-f_R2.fastq.gz
IL-6_WT-2-g	IL-6_WT-2	IL-6_WT-2-g_R1.fastq.gz	IL-6_WT-2-g_R2.fastq.gz
IL-6_WT-2-h	IL-6_WT-2	IL-6_WT-2-h_R1.fastq.gz	IL-6_WT-2-h_R2.fastq.gz
IL-6_WT-2-i	IL-6_WT-2	IL-6_WT-2-i_R1.fastq.gz	IL-6_WT-2-i_R2.fastq.gz
IL-6_WT-2-j	IL-6_WT-2	IL-6_WT-2-j_R1.fastq.gz	IL-6_WT-2-j_R2.fastq.gz
IL-6_WT-2-k	IL-6_WT-2	IL-6_WT-2-k_R1.fastq.gz	IL-6_WT-2-k_R2.fastq.gz
IL-6_WT-2-l	IL-6_WT-2	IL-6_WT-2-l_R1.fastq.gz	IL-6_WT-2-l_R2.fastq.gz
IL-6_WT-3-a	IL-6_WT-3	IL-6_WT-3-a_R1.fastq.gz	IL-6_WT-3-a_R2.fastq.gz
IL-6_WT-3-b	IL-6_WT-3	IL-6_WT-3-b_R1.fastq.gz	IL-6_WT-3-b_R2.fastq.gz
IL-6_WT-3-c	IL-6_WT-3	IL-6_WT-3-c_R1.fastq.gz	IL-6_WT-3-c_R2.fastq.gz
IL-6_WT-3-d	IL-6_WT-3	IL-6_WT-3-d_R1.fastq.gz	IL-6_WT-3-d_R2.fastq.gz
IL-6_WT-3-e	IL-6_WT-3	IL-6_WT-3-e_R1.fastq.gz	IL-6_WT-3-e_R2.fastq.gz
IL-6_WT-3-f	IL-6_WT-3	IL-6_WT-3-f_R1.fastq.gz	IL-6_WT-3-f_R2.fastq.gz
IL-6_WT-3-g	IL-6_WT-3	IL-6_WT-3-g_R1.fastq.gz	IL-6_WT-3-g_R2.fastq.gz
IL-6_WT-3-h	IL-6_WT-3	IL-6_WT-3-h_R1.fastq.gz	IL-6_WT-3-h_R2.fastq.gz
IL-6_WT-3-i	IL-6_WT-3	IL-6_WT-3-i_R1.fastq.gz	IL-6_WT-3-i_R2.fastq.gz
IL-6_WT-3-j	IL-6_WT-3	IL-6_WT-3-j_R1.fastq.gz	IL-6_WT-3-j_R2.fastq.gz
IL-6_WT-3-k	IL-6_WT-3	IL-6_WT-3-k_R1.fastq.gz	IL-6_WT-3-k_R2.fastq.gz
IL-6_WT-3-l	IL-6_WT-3	IL-6_WT-3-l_R1.fastq.gz	IL-6_WT-3-l_R2.fastq.gz
IL-6_P42A-a	IL-6_P42A	IL-6_P42A-a_R1.fastq.gz	IL-6_P42A-a_R2.fastq.gz
IL-6_P42A-b	IL-6_P42A	IL-6_P42A-b_R1.fastq.gz	IL-6_P42A-b_R2.fastq.gz
IL-6_P42A-c	IL-6_P42A	IL-6_P42A-c_R1.fastq.gz	IL-6_P42A-c_R2.fastq.gz
IL-6_P42A-d	IL-6_P42A	IL-6_P42A-d_R1.fastq.gz	IL-6_P42A-d_R2.fastq.gz
IL-6_P42A-e	IL-6_P42A	IL-6_P42A-e_R1.fastq.gz	IL-6_P42A-e_R2.fastq.gz
IL-6_P42A-f	IL-6_P42A	IL-6_P42A-f_R1.fastq.gz	IL-6_P42A-f_R2.fastq.gz
IL-6_P42A-g	IL-6_P42A	IL-6_P42A-g_R1.fastq.gz	IL-6_P42A-g_R2.fastq.gz
IL-6_P42A-h	IL-6_P42A	IL-6_P42A-h_R1.fastq.gz	IL-6_P42A-h_R2.fastq.gz
IL-6_P42A-i	IL-6_P42A	IL-6_P42A-i_R1.fastq.gz	IL-6_P42A-i_R2.fastq.gz
IL-6_P42A-j	IL-6_P42A	IL-6_P42A-j_R1.fastq.gz	IL-6_P42A-j_R2.fastq.gz
IL-6_P42A-k	IL-6_P42A	IL-6_P42A-k_R1.fastq.gz	IL-6_P42A-k_R2.fastq.gz
IL-6_P42A-l	IL-6_P42A	IL-6_P42A-l_R1.fastq.gz	IL-6_P42A-l_R2.fastq.gz
IL-6_Q45A-a	IL-6_Q45A	IL-6_Q45A-a_R1.fastq.gz	IL-6_Q45A-a_R2.fastq.gz
IL-6_Q45A-b	IL-6_Q45A	IL-6_Q45A-b_R1.fastq.gz	IL-6_Q45A-b_R2.fastq.gz
IL-6_Q45A-c	IL-6_Q45A	IL-6_Q45A-c_R1.fastq.gz	IL-6_Q45A-c_R2.fastq.gz
IL-6_Q45A-d	IL-6_Q45A	IL-6_Q45A-d_R1.fastq.gz	IL-6_Q45A-d_R2.fastq.gz
IL-6_Q45A-e	IL-6_Q45A	IL-6_Q45A-e_R1.fastq.gz	IL-6_Q45A-e_R2.fastq.gz
IL-6_Q45A-f	IL-6_Q45A	IL-6_Q45A-f_R1.fastq.gz	IL-6_Q45A-f_R2.fastq.gz
IL-6_Q45A-g	IL-6_Q45A	IL-6_Q45A-g_R1.fastq.gz	IL-6_Q45A-g_R2.fastq.gz
IL-6_Q45A-h	IL-6_Q45A	IL-6_Q45A-h_R1.fastq.gz	IL-6_Q45A-h_R2.fastq.gz
IL-6_Q45A-i	IL-6_Q45A	IL-6_Q45A-i_R1.fastq.gz	IL-6_Q45A-i_R2.fastq.gz
IL-6_Q45A-j	IL-6_Q45A	IL-6_Q45A-j_R1.fastq.gz	IL-6_Q45A-j_R2.fastq.gz
IL-6_Q45A-k	IL-6_Q45A	IL-6_Q45A-k_R1.fastq.gz	IL-6_Q45A-k_R2.fastq.gz
IL-6_Q45A-l	IL-6_Q45A	IL-6_Q45A-l_R1.fastq.gz	IL-6_Q45A-l_R2.fastq.gz
IL-6_T48A-a	IL-6_T48A	IL-6_T48A-a_R1.fastq.gz	IL-6_T48A-a_R2.fastq.gz
IL-6_T48A-b	IL-6_T48A	IL-6_T48A-b_R1.fastq.gz	IL-6_T48A-b_R2.fastq.gz
IL-6_T48A-c	IL-6_T48A	IL-6_T48A-c_R1.fastq.gz	IL-6_T48A-c_R2.fastq.gz
IL-6_T48A-d	IL-6_T48A	IL-6_T48A-d_R1.fastq.gz	IL-6_T48A-d_R2.fastq.gz
IL-6_T48A-e	IL-6_T48A	IL-6_T48A-e_R1.fastq.gz	IL-6_T48A-e_R2.fastq.gz
IL-6_T48A-f	IL-6_T48A	IL-6_T48A-f_R1.fastq.gz	IL-6_T48A-f_R2.fastq.gz
IL-6_T48A-g	IL-6_T48A	IL-6_T48A-g_R1.fastq.gz	IL-6_T48A-g_R2.fastq.gz
IL-6_T48A-h	IL-6_T48A	IL-6_T48A-h_R1.fastq.gz	IL-6_T48A-h_R2.fastq.gz
IL-6_T48A-i	IL-6_T48A	IL-6_T48A-i_R1.fastq.gz	IL-6_T48A-i_R2.fastq.gz
IL-6_T48A-j	IL-6_T48A	IL-6_T48A-j_R1.fastq.gz	IL-6_T48A-j_R2.fastq.gz
IL-6_T48A-k	IL-6_T48A	IL-6_T48A-k_R1.fastq.gz	IL-6_T48A-k_R2.fastq.gz
IL-6_T48A-l	IL-6_T48A	IL-6_T48A-l_R1.fastq.gz	IL-6_T48A-l_R2.fastq.gz
IL-6_E51A-a	IL-6_E51A	IL-6_E51A-a_R1.fastq.gz	IL-6_E51A-a_R2.fastq.gz
IL-6_E51A-b	IL-6_E51A	IL-6_E51A-b_R1.fastq.gz	IL-6_E51A-b_R2.fastq.gz
IL-6_E51A-c	IL-6_E51A	IL-6_E51A-c_R1.fastq.gz	IL-6_E51A-c_R2.fastq.gz
IL-6_E51A-d	IL-6_E51A	IL-6_E51A-d_R1.fastq.gz	IL-6_E51A-d_R2.fastq.gz
IL-6_E51A-e	IL-6_E51A	IL-6_E51A-e_R1.fastq.gz	IL-6_E51A-e_R2.fastq.gz
IL-6_E51A-f	IL-6_E51A	IL-6_E51A-f_R1.fastq.gz	IL-6_E51A-f_R2.fastq.gz
IL-6_E51A-g	IL-6_E51A	IL-6_E51A-g_R1.fastq.gz	IL-6_E51A-g_R2.fastq.gz
IL-6_E51A-h	IL-6_E51A	IL-6_E51A-h_R1.fastq.gz	IL-6_E51A-h_R2.fastq.gz
IL-6_E51A-i	IL-6_E51A	IL-6_E51A-i_R1.fastq.gz	IL-6_E51A-i_R2.fastq.gz
IL-6_E51A-j	IL-6_E51A	IL-6_E51A-j_R1.fastq.gz	IL-6_E51A-j_R2.fastq.gz
IL-6_E51A-k	IL-6_E51A	IL-6_E51A-k_R1.fastq.gz	IL-6_E51A-k_R2.fastq.gz
IL-6_E51A-l	IL-6_E51A	IL-6_E51A-l_R1.fastq.gz	IL-6_E51A-l_R2.fastq.gz
IL-6_D54A-a	IL-6_D54A	IL-6_D54A-a_R1.fastq.gz	IL-6_D54A-a_R2.fastq.gz
IL-6_D54A-b	IL-6_D54A	IL-6_D54A-b_R1.fastq.gz	IL-6_D54A-b_R2.fastq.gz
IL-6_D54A-c	IL-6_D54A	IL-6_D54A-c_R1.fastq.gz	IL-6_D54A-c_R2.fastq.gz
IL-6_D54A-d	IL-6_D54A	IL-6_D54A-d_R1.fastq.gz	IL-6_D54A-d_R2.fastq.gz
IL-6_D54A-e	IL-6_D54A	IL-6_D54A-e_R1.fastq.gz	IL-6_D54A-e_R2.fastq.gz
IL-6_D54A-f	IL-6_D54A	IL-6_D54A-f_R1.fastq.gz	IL-6_D54A-f_R2.fastq.gz
IL-6_D54A-g	IL-6_D54A	IL-6_D54A-g_R1.fastq.gz	IL-6_D54A-g_R2.fastq.gz
IL-6_D54A-h	IL-6_D54A	IL-6_D54A-h_R1.fastq.gz	IL-6_D54A-h_R2.fastq.gz
IL-6_D54A-i	IL-6_D54A	IL-6_D54A-i_R1.fastq.gz	IL-6_D54A-i_R2.fastq.gz
IL-6_D54A-j	IL-6_D54A	IL-6_D54A-j_R1.fastq.gz	IL-6_D54A-j_R2.fastq.gz
IL-6_D54A-k	IL-6_D54A	IL-6_D54A-k_R1.fastq.gz	IL-6_D54A-k_R2.fastq.gz
IL-6_D54A-l	IL-6_D54A	IL-6_D54A-l_R1.fastq.gz	IL-6_D54A-l_R2.fastq.gz
IL-6_I57A-a	IL-6_I57A	IL-6_I57A-a_R1.fastq.gz	IL-6_I57A-a_R2.fastq.gz
IL-6_I57A-b	IL-6_I57A	IL-6_I57A-b_R1.fastq.gz	IL-6_I57A-b_R2.fastq.gz
IL-6_I57A-c	IL-6_I57A	IL-6_I57A-c_R1.fastq.gz	IL-6_I57A-c_R2.fastq.gz
IL-6_I57A-d	IL-6_I57A	IL-6_I57A-d_R1.fastq.gz	IL-6_I57A-d_R2.fastq.gz
IL-6_I57A-e	IL-6_I57A	IL-6_I57A-e_R1.fastq.gz	IL-6_I57A-e_R2.fastq.gz
IL-6_I57A-f	IL-6_I57A	IL-6_I57A-f_R1.fastq.gz	IL-6_I57A-f_R2.fastq.gz
IL-6_I57A-g	IL-6_I57A	IL-6_I57A-g_R1.fastq.gz	IL-6_I57A-g_R2.fastq.gz
IL-6_I57A-h	IL-6_I57A	IL-6_I57A-h_R1.fastq.gz	IL-6_I57A-h_R2.fastq.gz
IL-6_I57A-i	IL-6_I57A	IL-6_I57A-i_R1.fastq.gz	IL-6_I57A-i_R2.fastq.gz
IL-6_I57A-j	IL-6_I57A	IL-6_I57A-j_R1.fastq.gz	IL-6_I57A-j_R2.fastq.gz
IL-6_I57A-k	IL-6_I57A	IL-6_I57A-k_R1.fastq.gz	IL-6_I57A-k_R2.fastq.gz
IL-6_I57A-l	IL-6_I57A	IL-6_I57A-l_R1.fastq.gz	IL-6_I57A-l_R2.fastq.gz
IL-6_I60A-a	IL-6_I60A	IL-6_I60A-a_R1.fastq.gz	IL-6_I60A-a_R2.fastq.gz
IL-6_I60A-b	IL-6_I60A	IL-6_I60A-b_R1.fastq.gz	IL-6_I60A-b_R2.fastq.gz
IL-6_I60A-c	IL-6_I60A	IL-6_I60A-c_R1.fastq.gz	IL-6_I60A-c_R2.fastq.gz
IL-6_I60A-d	IL-6_I60A	IL-6_I60A-d_R1.fastq.gz	IL-6_I60A-d_R2.fastq.gz
IL-6_I60A-e	IL-6_I60A	IL-6_I60A-e_R1.fastq.gz	IL-6_I60A-e_R2.fastq.gz
IL-6_I60A-f	IL-6_I60A	IL-6_I60A-f_R1.fastq.gz	IL-6_I60A-f_R2.fastq.gz
IL-6_I60A-g	IL-6_I60A	IL-6_I60A-g_R1.fastq.gz	IL-6_I60A-g_R2.fastq.gz
IL-6_I60A-h	IL-6_I60A	IL-6_I60A-h_R1.fastq.gz	IL-6_I60A-h_R2.fastq.gz
IL-6_I60A-i	IL-6_I60A	IL-6_I60A-i_R1.fastq.gz	IL-6_I60A-i_R2.fastq.gz
IL-6_I60A-j	IL-6_I60A	IL-6_I60A-j_R1.fastq.gz	IL-6_I60A-j_R2.fastq.gz
IL-6_I60A-k	IL-6_I60A	IL-6_I60A-k_R1.fastq.gz	IL-6_I60A-k_R2.fastq.gz
IL-6_I60A-l	IL-6_I60A	IL-6_I60A-l_R1.fastq.gz	IL-6_I60A-l_R2.fastq.gz
IL-6_G63A-a	IL-6_G63A	IL-6_G63A-a_R1.fastq.gz	IL-6_G63A-a_R2.fastq.gz
IL-6_G63A-b	IL-6_G63A	IL-6_G63A-b_R1.fastq.gz	IL-6_G63A-b_R2.fastq.gz
IL-6_G63A-c	IL-6_G63A	IL-6_G63A-c_R1.fastq.gz	IL-6_G63A-c_R2.fastq.gz
IL-6_G63A-d	IL-6_G63A	IL-6_G63A-d_R1.fastq.gz	IL-6_G63A-d_R2.fastq.gz
IL-6_G63A-e	IL-6_G63A	IL-6_G63A-e_R1.fastq.gz	IL-6_G63A-e_R2.fastq.gz
IL-6_G63A-f	IL-6_G63A	IL-6_G63A-f_R1.fastq.gz	IL-6_G63A-f_R2.fastq.gz
IL-6_G63A-g	IL-6_G63A	IL-6_G63A-g_R1.fastq.gz	IL-6_G63A-g_R2.fastq.gz
IL-6_G63A-h	IL-6_G63A	IL-6_G63A-h_R1.fastq.gz	IL-6_G63A-h_R2.fastq.gz
IL-6_G63A-i	IL-6_G63A	IL-6_G63A-i_R1.fastq.gz	IL-6_G63A-i_R2.fastq.gz
